target,split,model_name,params,accuracy,macro_f1,balanced_accuracy,classification_report
model_key,train,extra_trees,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 500}",1.0,1.0,1.0,"{""gemini-flash-latest"": {""precision"": 1.0, ""recall"": 1.0, ""f1-score"": 1.0, ""support"": 480.0}, ""llama-3.1-8b-groq"": {""precision"": 1.0, ""recall"": 1.0, ""f1-score"": 1.0, ""support"": 480.0}, ""mistral-7b-hf"": {""precision"": 1.0, ""recall"": 1.0, ""f1-score"": 1.0, ""support"": 480.0}, ""phi-3-mini-hf"": {""precision"": 1.0, ""recall"": 1.0, ""f1-score"": 1.0, ""support"": 480.0}, ""accuracy"": 1.0, ""macro avg"": {""precision"": 1.0, ""recall"": 1.0, ""f1-score"": 1.0, ""support"": 1920.0}, ""weighted avg"": {""precision"": 1.0, ""recall"": 1.0, ""f1-score"": 1.0, ""support"": 1920.0}}"
model_key,val,extra_trees,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.9104166666666667,0.9100932217195294,0.9104166666666668,"{""gemini-flash-latest"": {""precision"": 0.9754098360655737, ""recall"": 0.9916666666666667, ""f1-score"": 0.9834710743801653, ""support"": 120.0}, ""llama-3.1-8b-groq"": {""precision"": 0.8828125, ""recall"": 0.9416666666666667, ""f1-score"": 0.9112903225806451, ""support"": 120.0}, ""mistral-7b-hf"": {""precision"": 0.8467741935483871, ""recall"": 0.875, ""f1-score"": 0.860655737704918, ""support"": 120.0}, ""phi-3-mini-hf"": {""precision"": 0.9433962264150944, ""recall"": 0.8333333333333334, ""f1-score"": 0.8849557522123894, ""support"": 120.0}, ""accuracy"": 0.9104166666666667, ""macro avg"": {""precision"": 0.9120981890072637, ""recall"": 0.9104166666666668, ""f1-score"": 0.9100932217195294, ""support"": 480.0}, ""weighted avg"": {""precision"": 0.9120981890072638, ""recall"": 0.9104166666666667, ""f1-score"": 0.9100932217195294, ""support"": 480.0}}"
model_key,test,extra_trees,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.8947368421052632,0.8920451666095142,0.8923196517412936,"{""gemini-flash-latest"": {""precision"": 0.9632352941176471, ""recall"": 0.9776119402985075, ""f1-score"": 0.9703703703703703, ""support"": 134.0}, ""llama-3.1-8b-groq"": {""precision"": 0.8951612903225806, ""recall"": 0.925, ""f1-score"": 0.9098360655737705, ""support"": 120.0}, ""mistral-7b-hf"": {""precision"": 0.7985074626865671, ""recall"": 0.8916666666666667, ""f1-score"": 0.84251968503937, ""support"": 120.0}, ""phi-3-mini-hf"": {""precision"": 0.93, ""recall"": 0.775, ""f1-score"": 0.8454545454545455, ""support"": 120.0}, ""accuracy"": 0.8947368421052632, ""macro avg"": {""precision"": 0.8967260117816988, ""recall"": 0.8923196517412936, ""f1-score"": 0.8920451666095142, ""support"": 494.0}, ""weighted avg"": {""precision"": 0.8986108902284665, ""recall"": 0.8947368421052632, ""f1-score"": 0.8942649092262185, ""support"": 494.0}}"
language,train,random_forest,"{""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.9869791666666666,0.9869772979032636,0.9869791666666666,"{""en"": {""precision"": 0.9755849440488301, ""recall"": 0.9989583333333333, ""f1-score"": 0.9871332990221308, ""support"": 960.0}, ""pl"": {""precision"": 0.9989327641408752, ""recall"": 0.975, ""f1-score"": 0.9868212967843965, ""support"": 960.0}, ""accuracy"": 0.9869791666666666, ""macro avg"": {""precision"": 0.9872588540948526, ""recall"": 0.9869791666666666, ""f1-score"": 0.9869772979032636, ""support"": 1920.0}, ""weighted avg"": {""precision"": 0.9872588540948527, ""recall"": 0.9869791666666666, ""f1-score"": 0.9869772979032636, ""support"": 1920.0}}"
language,val,random_forest,"{""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.98125,0.9812460115215476,0.98125,"{""en"": {""precision"": 0.9676113360323887, ""recall"": 0.9958333333333333, ""f1-score"": 0.9815195071868583, ""support"": 240.0}, ""pl"": {""precision"": 0.9957081545064378, ""recall"": 0.9666666666666667, ""f1-score"": 0.9809725158562368, ""support"": 240.0}, ""accuracy"": 0.98125, ""macro avg"": {""precision"": 0.9816597452694132, ""recall"": 0.98125, ""f1-score"": 0.9812460115215476, ""support"": 480.0}, ""weighted avg"": {""precision"": 0.9816597452694132, ""recall"": 0.98125, ""f1-score"": 0.9812460115215474, ""support"": 480.0}}"
language,test,random_forest,"{""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.9817813765182186,0.9817753274169416,0.9817237083661159,"{""en"": {""precision"": 0.9686274509803922, ""recall"": 0.9959677419354839, ""f1-score"": 0.9821073558648111, ""support"": 248.0}, ""pl"": {""precision"": 0.99581589958159, ""recall"": 0.967479674796748, ""f1-score"": 0.9814432989690721, ""support"": 246.0}, ""accuracy"": 0.9817813765182186, ""macro avg"": {""precision"": 0.9822216752809911, ""recall"": 0.9817237083661159, ""f1-score"": 0.9817753274169416, ""support"": 494.0}, ""weighted avg"": {""precision"": 0.9821666379356446, ""recall"": 0.9817813765182186, ""f1-score"": 0.9817766716616698, ""support"": 494.0}}"
