target,split,surrogate_max_depth,surrogate_min_samples_leaf,fidelity_accuracy,fidelity_macro_f1,surrogate_task_accuracy,surrogate_task_macro_f1
model_key,train,3,30,0.7364583333333333,0.7331279816571991,0.7364583333333333,0.7331279816571991
model_key,val,3,30,0.7354166666666667,0.7334057070889778,0.7375,0.735570953725112
model_key,test,3,30,0.7408906882591093,0.7304794294891489,0.7246963562753036,0.7154490441495207
language,train,3,30,0.95625,0.9561357225149287,0.9442708333333333,0.944185667420584
language,val,3,30,0.9541666666666667,0.9539355446598384,0.9354166666666667,0.9352116723487075
language,test,3,30,0.9453441295546559,0.9450683865228511,0.9271255060728745,0.9268906319372503
