model_key,feature,model_mean,other_models_mean,effect_size,abs_effect_size,direction
gemini-flash-latest,text_punctuation_density,0.0669515162881383,0.03251275351698209,1.9034552929243023,1.9034552929243023,higher
gemini-flash-latest,text_newline_count,39.967302452316076,16.62638888888889,1.3430228115892533,1.3430228115892533,higher
gemini-flash-latest,text_paragraph_count,12.70299727520436,6.141203703703703,1.2668991744996967,1.2668991744996967,higher
gemini-flash-latest,text_sentence_count,38.682561307901906,19.28287037037037,1.2158930509971828,1.2158930509971828,higher
gemini-flash-latest,text_punctuation_count,232.7465940054496,83.81296296296296,1.0523265237604866,1.0523265237604866,higher
gemini-flash-latest,text_repeated_trigram_ratio,0.012879847204731716,0.07356841551077817,-0.766214643453921,0.766214643453921,lower
gemini-flash-latest,text_repeated_bigram_ratio,0.059204228375293065,0.1295379992746428,-0.722433245175356,0.722433245175356,lower
gemini-flash-latest,text_negation_word_count,4.03133514986376,1.8046296296296296,0.6971866556889309,0.6971866556889309,higher
llama-3.1-8b-groq,text_hapax_ratio,0.35239142411038366,0.5420573532781572,-1.00980824440358,1.00980824440358,lower
llama-3.1-8b-groq,text_repeated_bigram_ratio,0.18946488890928334,0.08594446276265387,0.9449209487077828,0.9449209487077828,higher
llama-3.1-8b-groq,text_repetition_rate,0.47477916558465044,0.3279935539475836,0.9249725489195941,0.9249725489195941,higher
llama-3.1-8b-groq,text_type_token_ratio,0.5252208344153495,0.6720064460524163,-0.9249725489195941,0.9249725489195941,lower
llama-3.1-8b-groq,text_entropy,6.37023799740186,7.247480307685216,-0.9048830320807438,0.9048830320807438,lower
llama-3.1-8b-groq,text_unique_word_count,130.8125,292.78978840846366,-0.6685005096673228,0.6685005096673228,lower
llama-3.1-8b-groq,text_avg_word_frequency,2.051052513802722,1.6151637120905429,0.646482117412664,0.646482117412664,higher
llama-3.1-8b-groq,text_repeated_trigram_ratio,0.10207060550217602,0.043638799167427404,0.6396766337087403,0.6396766337087403,higher
mistral-7b-hf,text_punctuation_density,0.027637995686027098,0.045754647496888366,-0.9464319873048838,0.9464319873048838,lower
mistral-7b-hf,text_newline_count,12.92361111111111,25.733210671573136,-0.7498724615988045,0.7498724615988045,lower
mistral-7b-hf,text_word_count,239.54166666666666,444.81876724931004,-0.7400648458768908,0.7400648458768908,lower
mistral-7b-hf,text_punctuation_count,49.916666666666664,145.32290708371664,-0.7207505404645134,0.7207505404645134,lower
mistral-7b-hf,text_char_count,1678.9902777777777,3504.9475620975163,-0.7148085541077759,0.7148085541077759,lower
mistral-7b-hf,source_response_length,1670.611111111111,3483.8551057957684,-0.7104472376592439,0.7104472376592439,lower
mistral-7b-hf,text_paragraph_count,5.448611111111111,8.586016559337626,-0.6029352806584859,0.6029352806584859,lower
mistral-7b-hf,text_unique_word_count,142.84722222222223,288.8040478380865,-0.5983607309695624,0.5983607309695624,lower
phi-3-mini-hf,text_hapax_ratio,0.6584738670817009,0.44068690298406865,1.0517558859974803,1.0517558859974803,higher
phi-3-mini-hf,text_punctuation_density,0.02444225894095099,0.04681303317143059,-1.0268436758136092,1.0268436758136092,lower
phi-3-mini-hf,text_repetition_rate,0.2435714866380566,0.4045664742978814,-0.9213395029296733,0.9213395029296733,lower
phi-3-mini-hf,text_type_token_ratio,0.7564285133619434,0.5954335257021186,0.9213395029296733,0.9213395029296733,higher
phi-3-mini-hf,text_colon_density,0.0015078010757639346,0.00400453882914741,-0.9165563053441514,0.9165563053441514,lower
phi-3-mini-hf,text_avg_word_length,6.940528051702606,5.668299749145897,0.82861747986268,0.82861747986268,higher
phi-3-mini-hf,text_avg_sentence_chars,309.47637522816837,104.13504053414401,0.7538866154757722,0.7538866154757722,higher
phi-3-mini-hf,text_avg_sentence_words,35.21710471907981,14.867907911356228,0.7263307307615289,0.7263307307615289,higher
