model_key,feature,en_mean,pl_mean,language_difference_en_minus_pl,base_prompt_mean,paraphrase_mean,paraphrase_difference_true_minus_false
gemini-flash-latest,source_response_length,3425.8315217391305,3232.346994535519,193.48452720361138,3325.789617486339,3332.896739130435,7.107121644095969
gemini-flash-latest,text_avg_sentence_chars,94.60529185435499,91.12232540960747,3.482966444747518,96.12673488316815,89.628080258368,-6.498654624800153
gemini-flash-latest,text_avg_sentence_words,14.63864451532346,11.842548768126301,2.7960957471971586,13.657700017016316,12.833358218873066,-0.8243417981432497
gemini-flash-latest,text_avg_word_frequency,1.9084127257025683,1.4296472256718855,0.47876550003068274,1.6762205400171113,1.6631794837179144,-0.01304105629919694
gemini-flash-latest,text_avg_word_length,4.9297411742224755,6.077478820878216,-1.1477376466557407,5.527724020390022,5.476508176881929,-0.051215843508093606
gemini-flash-latest,text_char_count,3466.228260869565,3270.571038251366,195.65722261819883,3365.6639344262294,3371.6521739130435,5.988239486814109
gemini-flash-latest,text_code_fence_count,0.0,0.00273224043715847,-0.00273224043715847,0.0,0.002717391304347826,0.002717391304347826
gemini-flash-latest,text_colon_density,0.004375882922052755,0.004644122742082068,-0.00026823982002931353,0.004677489201229078,0.004342697802357632,-0.0003347913988714455
gemini-flash-latest,text_comma_density,0.006775948950400155,0.009006686603407237,-0.0022307376530070824,0.007558841979850414,0.008215924853176777,0.0006570828733263633
gemini-flash-latest,text_digit_density,0.004465012652192108,0.004211048969891048,0.0002539636823010597,0.004383842620891601,0.004293158097120904,-9.068452377069668e-05
gemini-flash-latest,text_entropy,7.278719445441917,7.761669836695675,-0.48295039125375805,7.522309213028144,7.516779196154731,-0.005530016873413146
gemini-flash-latest,text_exclamation_mark_density,0.00014946132813632775,8.204231247804886e-05,6.741901565827889e-05,5.572217850388074e-05,0.0001756384179041145,0.00011991623940023378
gemini-flash-latest,text_first_person_pronoun_count,2.4972826086956523,9.704918032786885,-7.207635424091233,5.898907103825136,6.282608695652174,0.38370159182703745
gemini-flash-latest,text_first_person_pronoun_density,0.006732010386230829,0.022730310482222345,-0.015998300095991517,0.01403609820375805,0.015378971511007818,0.001342873307249767
gemini-flash-latest,text_hapax_ratio,0.38373108296512987,0.5706843258687582,-0.1869532429036283,0.472496633617115,0.4813851464545359,0.00888851283742087
gemini-flash-latest,text_hedge_word_count,1.934782608695652,0.03278688524590164,1.9019957234497504,0.9644808743169399,1.0081521739130435,0.04367129959610361
gemini-flash-latest,text_hedge_word_density,0.003916792563600441,6.544382145308758e-05,0.0038513487421473537,0.0019456052824223173,0.002046849371440827,0.00010124408901850991
gemini-flash-latest,text_list_marker_count,12.52445652173913,12.702185792349727,-0.1777292706105964,12.920765027322405,12.307065217391305,-0.6136998099311004
gemini-flash-latest,text_max_word_frequency,32.1875,12.57103825136612,19.61646174863388,22.57377049180328,22.23913043478261,-0.3346400570206711
gemini-flash-latest,text_negation_word_count,2.671195652173913,5.398907103825136,-2.7277114516512233,4.038251366120218,4.024456521739131,-0.013794844381087579
gemini-flash-latest,text_negation_word_density,0.004700594427222837,0.012767155707209125,-0.008066561279986287,0.008840425410966277,0.008605983797942626,-0.0002344416130236511
gemini-flash-latest,text_newline_count,41.141304347826086,38.78688524590164,2.3544191019244494,40.42622950819672,39.51086956521739,-0.9153599429793289
gemini-flash-latest,text_paragraph_count,12.980978260869565,12.423497267759563,0.5574809931100013,12.770491803278688,12.63586956521739,-0.13462223806129714
gemini-flash-latest,text_punctuation_count,252.87771739130434,212.5054644808743,40.372252910430035,234.6584699453552,230.8451086956522,-3.813361249703007
gemini-flash-latest,text_punctuation_density,0.07082489877827422,0.06305696777346612,0.007767931004808104,0.06696478490597556,0.0669383197823545,-2.6465123621061126e-05
gemini-flash-latest,text_repeated_bigram_ratio,0.08701941868002895,0.031237042495121464,0.05578237618490749,0.06013991636103968,0.05827362565033857,-0.0018662907107011087
gemini-flash-latest,text_repeated_trigram_ratio,0.018925479672386957,0.00680117849408382,0.012124301178303137,0.013224023621474155,0.012537541311993312,-0.0006864823094808424
gemini-flash-latest,text_repetition_rate,0.4673074726796891,0.29686367391954027,0.1704437987601488,0.3853132168593449,0.37933863377760085,-0.005974583081744034
gemini-flash-latest,text_second_person_pronoun_count,10.720108695652174,0.48633879781420764,10.233769897837966,5.412568306010929,5.820652173913044,0.40808386790211504
gemini-flash-latest,text_second_person_pronoun_density,0.02031492020362247,0.0011587908641463663,0.019156129339476104,0.009535597220194422,0.011983639969074675,0.002448042748880254
gemini-flash-latest,text_semicolon_density,0.00024130539450942348,1.925156009658904e-05,0.00022205383441283445,0.00015025613631444528,0.0001110127996840556,-3.924333663038968e-05
gemini-flash-latest,text_sentence_count,39.41304347826087,37.94808743169399,1.4649560465668756,38.0655737704918,39.296195652173914,1.2306218816821115
